outlet_id,total_images,file_name,suspicion_score,reason
outlet_003a29a9,8,image_0001.jpg,0.6655,Few nearby neighbours in feature space
outlet_003a29a9,8,image_0008.jpg,0.5815,Few nearby neighbours in feature space
outlet_004449c0,10,,,
outlet_01e0d230,17,image_0009.jpg,0.633,Isolated in feature space (Isolation Forest)
outlet_0280ccb5,32,image_0016.jpg,0.5252,Isolated in feature space (Isolation Forest)
outlet_04473281,13,image_0001_1.jpg,0.5455,Isolated in feature space (Isolation Forest)
outlet_04473281,13,image_0002_1.jpg,0.6437,Isolated in feature space (Isolation Forest)
outlet_045f93b1,17,image_0002_1.jpg,0.7285,Isolated in feature space (Isolation Forest)
outlet_045f93b1,17,image_0003.jpg,0.7818,Isolated in feature space (Isolation Forest)
outlet_055c59bd,9,,,
outlet_083cd34a,9,,,
outlet_08e8ac70,15,,,
outlet_0a2befe6,13,image_0003.jpg,0.6303,Isolated in feature space (Isolation Forest)
outlet_0a2befe6,13,image_0009.jpg,0.5325,Isolated in feature space (Isolation Forest)
outlet_0af952cd,12,image_0009.jpg,0.5213,Isolated in feature space (Isolation Forest)
outlet_0c0e85b4,11,image_0001.jpg,0.8904,Isolated in feature space (Isolation Forest)
outlet_108e6eab,21,image_0016.jpg,0.5714,Isolated in feature space (Isolation Forest)
outlet_108e6eab,21,image_0019.jpg,0.7478,Isolated in feature space (Isolation Forest)
outlet_10c7ca00,17,image_0005.jpg,0.5732,Isolated in feature space (Isolation Forest)
outlet_10c7ca00,17,image_0013.jpg,0.5807,Isolated in feature space (Isolation Forest)
outlet_11da187e,5,,,
outlet_146ab59b,26,image_0022.jpg,0.6165,Isolated in feature space (Isolation Forest)
outlet_16412021,5,image_0004.jpg,0.5545,Few nearby neighbours in feature space
outlet_176ee853,14,image_0009.jpg,0.6264,Isolated in feature space (Isolation Forest)
outlet_176ee853,14,image_0011.jpg,0.5991,Isolated in feature space (Isolation Forest)
outlet_1a444d86,27,image_0001_1.jpg,0.6112,Isolated in feature space (Isolation Forest)
outlet_1a444d86,27,image_0003_1.jpg,0.612,Isolated in feature space (Isolation Forest)
outlet_1a444d86,27,image_0004_1.jpg,0.6659,Isolated in feature space (Isolation Forest)
outlet_1a444d86,27,image_0005.jpg,0.5448,Isolated in feature space (Isolation Forest)
outlet_1a4910c8,29,image_0012.jpg,0.5492,Isolated in feature space (Isolation Forest)
outlet_1a4910c8,29,image_0019.jpg,0.5323,Isolated in feature space (Isolation Forest)
outlet_1a4910c8,29,image_0024.jpg,0.5236,Isolated in feature space (Isolation Forest)
outlet_1aa573b9,14,,,
outlet_1b2b051c,8,,,
outlet_1ce36f39,15,image_0001.jpg,0.5372,Isolated in feature space (Isolation Forest)
outlet_1f28f2e3,19,,,
outlet_256287da,7,,,
outlet_264cdac2,5,image_0002.jpg,0.6237,Few nearby neighbours in feature space
outlet_2790dc54,8,,,
outlet_282fec27,11,image_0006.jpg,0.7338,Isolated in feature space (Isolation Forest)
outlet_288f9f47,18,image_0002_1.jpg,0.7683,Isolated in feature space (Isolation Forest)
outlet_28e3acec,30,image_0001_1.jpg,0.7504,Isolated in feature space (Isolation Forest)
